date,reservoir,data_type,inflow
1999-04-25,LCR,AdaTrip,42.74171447753906
1999-04-25,LCR,GCN_LSTM,98.32811737060547
1999-04-25,LCR,Ground_Truth,64.0
1999-04-26,ECH,AdaTrip,163.95355224609375
1999-04-26,ECH,GCN_LSTM,154.12985229492188
1999-04-26,ECH,Ground_Truth,248.0
1999-04-26,ECR,AdaTrip,50.86008071899414
1999-04-26,ECR,GCN_LSTM,120.25318145751953
1999-04-26,ECR,Ground_Truth,90.0
1999-04-26,LCR,AdaTrip,36.78347396850586
1999-04-26,LCR,GCN_LSTM,102.7846450805664
1999-04-26,LCR,Ground_Truth,65.0
1999-04-27,ECH,AdaTrip,165.08474731445312
1999-04-27,ECH,GCN_LSTM,172.5392608642578
1999-04-27,ECH,Ground_Truth,282.0
1999-04-27,ECR,AdaTrip,52.82004928588867
1999-04-27,ECR,GCN_LSTM,131.19061279296875
1999-04-27,ECR,Ground_Truth,196.0
1999-04-27,LCR,AdaTrip,38.048954010009766
1999-04-27,LCR,GCN_LSTM,114.97933959960938
1999-04-27,LCR,Ground_Truth,66.0
1999-04-28,ECH,AdaTrip,164.679931640625
1999-04-28,ECH,GCN_LSTM,180.67076110839844
1999-04-28,ECH,Ground_Truth,555.0
1999-04-28,ECR,AdaTrip,56.98908996582031
1999-04-28,ECR,GCN_LSTM,132.6314697265625
1999-04-28,ECR,Ground_Truth,196.0
1999-04-28,LCR,AdaTrip,38.85053253173828
1999-04-28,LCR,GCN_LSTM,121.44535064697266
1999-04-28,LCR,Ground_Truth,172.0
1999-04-29,ECH,AdaTrip,163.88568115234375
1999-04-29,ECH,GCN_LSTM,164.52249145507812
1999-04-29,ECH,Ground_Truth,651.0
1999-04-29,ECR,AdaTrip,58.61734390258789
1999-04-29,ECR,GCN_LSTM,118.13582611083984
1999-04-29,ECR,Ground_Truth,282.0
1999-04-29,LCR,AdaTrip,36.301483154296875
1999-04-29,LCR,GCN_LSTM,109.60584259033203
1999-04-29,LCR,Ground_Truth,142.0
1999-04-30,ECH,AdaTrip,166.7020263671875
1999-04-30,ECH,GCN_LSTM,153.3765411376953
1999-04-30,ECH,Ground_Truth,631.0
1999-04-30,ECR,AdaTrip,61.76362991333008
1999-04-30,ECR,GCN_LSTM,109.14832305908203
1999-04-30,ECR,Ground_Truth,305.0
1999-04-30,LCR,AdaTrip,38.540672302246094
1999-04-30,LCR,GCN_LSTM,102.72618103027344
1999-04-30,LCR,Ground_Truth,67.0
1999-05-01,ECH,AdaTrip,163.80003356933594
1999-05-01,ECH,GCN_LSTM,163.2366180419922
1999-05-01,ECH,Ground_Truth,494.0
1999-05-01,ECR,AdaTrip,60.735015869140625
1999-05-01,ECR,GCN_LSTM,114.20856475830078
1999-05-01,ECR,Ground_Truth,306.0
1999-05-01,LCR,AdaTrip,40.18157958984375
1999-05-01,LCR,GCN_LSTM,108.36923217773438
1999-05-01,LCR,Ground_Truth,157.0
1999-05-02,ECH,AdaTrip,160.9251251220703
1999-05-02,ECH,GCN_LSTM,172.2281494140625
1999-05-02,ECH,Ground_Truth,461.0
1999-05-02,ECR,AdaTrip,60.94343566894531
1999-05-02,ECR,GCN_LSTM,118.44499969482422
1999-05-02,ECR,Ground_Truth,240.0
1999-05-02,LCR,AdaTrip,31.807838439941406
1999-05-02,LCR,GCN_LSTM,112.66564178466797
1999-05-02,LCR,Ground_Truth,193.0
1999-05-03,ECH,AdaTrip,169.8424530029297
1999-05-03,ECH,GCN_LSTM,174.75210571289062
1999-05-03,ECH,Ground_Truth,513.0
1999-05-03,ECR,AdaTrip,68.89678192138672
1999-05-03,ECR,GCN_LSTM,116.17459869384766
1999-05-03,ECR,Ground_Truth,240.0
1999-05-03,LCR,AdaTrip,32.695167541503906
1999-05-03,LCR,GCN_LSTM,114.206787109375
1999-05-03,LCR,Ground_Truth,136.0
1999-05-04,ECH,AdaTrip,170.60752868652344
1999-05-04,ECH,GCN_LSTM,152.6719512939453
1999-05-04,ECH,Ground_Truth,878.0
1999-05-04,ECR,AdaTrip,70.43917846679688
1999-05-04,ECR,GCN_LSTM,100.6536865234375
1999-05-04,ECR,Ground_Truth,470.0
1999-05-04,LCR,AdaTrip,38.85795593261719
1999-05-04,LCR,GCN_LSTM,99.19348907470703
1999-05-04,LCR,Ground_Truth,122.0
1999-05-05,ECH,AdaTrip,167.86720275878906
1999-05-05,ECH,GCN_LSTM,149.84515380859375
1999-05-05,ECH,Ground_Truth,735.0
1999-05-05,ECR,AdaTrip,68.5882797241211
1999-05-05,ECR,GCN_LSTM,97.61030578613281
1999-05-05,ECR,Ground_Truth,354.0
1999-05-05,LCR,AdaTrip,37.99039077758789
1999-05-05,LCR,GCN_LSTM,98.41460418701172
1999-05-05,LCR,Ground_Truth,190.0
1999-05-06,ECH,AdaTrip,169.61175537109375
1999-05-06,ECH,GCN_LSTM,154.32838439941406
1999-05-06,ECH,Ground_Truth,611.0
1999-05-06,ECR,AdaTrip,64.58164978027344
1999-05-06,ECR,GCN_LSTM,100.35021209716797
1999-05-06,ECR,Ground_Truth,277.0
1999-05-06,LCR,AdaTrip,31.90572166442871
1999-05-06,LCR,GCN_LSTM,99.75057220458984
1999-05-06,LCR,Ground_Truth,88.0
1999-05-07,ECH,AdaTrip,172.64759826660156
1999-05-07,ECH,GCN_LSTM,162.90647888183594
1999-05-07,ECH,Ground_Truth,528.0
1999-05-07,ECR,AdaTrip,63.08401107788086
1999-05-07,ECR,GCN_LSTM,104.00076293945312
1999-05-07,ECR,Ground_Truth,277.0
1999-05-07,LCR,AdaTrip,27.128463745117188
1999-05-07,LCR,GCN_LSTM,102.97978210449219
1999-05-07,LCR,Ground_Truth,108.0
1999-05-08,ECH,AdaTrip,183.9016876220703
1999-05-08,ECH,GCN_LSTM,179.398681640625
1999-05-08,ECH,Ground_Truth,527.0
1999-05-08,ECR,AdaTrip,65.85005187988281
1999-05-08,ECR,GCN_LSTM,114.84025573730469
1999-05-08,ECR,Ground_Truth,277.0
1999-05-08,LCR,AdaTrip,26.099224090576172
1999-05-08,LCR,GCN_LSTM,111.50944519042969
1999-05-08,LCR,Ground_Truth,156.0
1999-05-09,ECH,AdaTrip,186.36331176757812
1999-05-09,ECH,GCN_LSTM,158.35018920898438
1999-05-09,ECH,Ground_Truth,511.0
1999-05-09,ECR,AdaTrip,66.05564880371094
1999-05-09,ECR,GCN_LSTM,96.3037338256836
1999-05-09,ECR,Ground_Truth,273.0
1999-05-09,LCR,AdaTrip,26.58330726623535
1999-05-09,LCR,GCN_LSTM,100.30858612060547
1999-05-09,LCR,Ground_Truth,122.0
1999-05-10,ECH,AdaTrip,179.2218017578125
1999-05-10,ECH,GCN_LSTM,120.05469512939453
1999-05-10,ECH,Ground_Truth,649.0
1999-05-10,ECR,AdaTrip,60.721317291259766
